Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0.104341342,0.235777465,0.093159237,-0.104772307,0.028129744,0.253914364,0.138442529,0.143142589,0.082145159,-0.072211254,-0.022491969,0.043796198,-0.044164717,-0.374818121,-0.160064908,0.082741336,0.36878128,1.001657464,0.644107994,0.060537306,-0.606024462,-0.435659516,-0.501531155,0.005273815,0.247663603,0.357868852,0.115445866,0.230944705,0.259066991,0.132591558,0.038494457,-0.121341804,0.05453956,0.213571442,0.137104777,0.231386644,0.187884735,0.204055854,0.209811275,0.08827067,0.060194502,0.203196527,0.159623532,0.197857648,-0.082943551,0.055053879,0.14842023,0.033031576,0.038279026,-0.121476611,-0.1765097,0.049019385,0.208863339,0.208863339,0.315425975,0.395347952
1,0.241913188,0.273385448,0.409279418,-0.014628834,-0.878799246,0.072731691,1.230382861,0.042440319,-0.345053485,0.012253291,-0.041273852,0.202539534,0.231897192,-0.037164716,0.226480908,0.22167757,0.108887451,0.019280957,0.326529927,0.019701183,0.007122444,-0.130434304,-0.366605793,0.760609642,0.946299372,-0.696111928,-0.538592106,0.357387336,0.290200324,0.339942325,-0.008344813,0.053945965,0.290557777,0.278977364,0.257583095,0.116235707,0.296313691,0.011264924,0.145149255,-0.004625593,-0.200130819,0.303041772,0.041809539,-0.196954203,0.159318963,0.025711707,0.164045201,0.241407537,0.127831577,0.323146322,0.251886591,0.251742359,-0.108683713,0.241904776,0.274014178,0.40972705
1,0.442203636,0.06281425,-0.378703057,0.972968661,-0.528151882,0.349116567,0.063362159,0.335685747,0.069377755,0.375755437,-0.417634596,0.570255121,0.219645925,-0.454215505,0.70849124,0.171824641,0.534158544,-0.76386145,1.062053195,-0.366696724,0.164015683,0.146520808,0.261898016,0.153935578,0.276623343,-0.134240619,0.051969679,0.76744079,-0.766940844,0.739241551,-0.042192956,0.402699981,0.299398845,0.277329287,0.049215182,0.009134663,0.092843001,-0.037426979,0.271585722,0.258361247,0.441186788,0.012584862,0.521272239,0.062853772,0.41387693,0.220352808,0.193844486,0.416834122,0.231338248,0.162453969,-0.0636388,0.14982012,-0.081018406,0.237168424,0.228702952,0.462924967
