Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,1.745182478,1.511779043,1.487737927,1.616138122,1.579387475,1.322293239,1.603762106,1.47547549,1.44468133,1.469288791,1.573484879,1.493990543,1.44467054,1.530631805,1.756422945,1.499279192,0.998288322,1.487555618,1.457003965,1.621879197,1.609803695,1.824309531,1.664896753,1.603734136,1.75097761,1.500128901,1.615841636,1.347090695,1.615963119,1.542595147,1.744181999,1.805737634,1.739309058,1.726298846,1.713822931,1.628135474,1.591400713,1.407852418,1.408147672,1.597670988,1.340734779,1.457203105,1.597584436,1.610074071,1.701695315,1.579598999,1.377670388,1.365334053,1.334626558,1.377302398,1.545708663,1.54577465,1.546070926,1.546445301,1.546053215,1.546053215
1,2.28459573,2.068747176,2.260702791,2.363850427,2.416059371,2.309691559,1.821834638,2.037004051,2.277035035,2.077513125,2.131420227,2.089519784,2.101285531,2.189243498,2.227785303,2.39697259,2.150151107,2.167694627,2.09270289,2.078517291,2.162601676,2.074841628,2.342801126,1.732767102,2.126789741,2.369235985,2.417444106,2.317205081,2.152206647,2.11780892,2.454883354,2.482543965,2.418798357,2.169648248,2.058104413,2.042723047,2.184165615,2.372919543,2.005748561,1.88513817,2.136106669,2.193538947,2.186873659,2.180100719,2.202325185,1.9977092,1.881191729,2.20952371,2.360067232,2.038183498,2.088669598,2.045155041,2.340764182,2.436023881,2.521351843,2.285328088
1,3.073703458,3.265678055,3.298279058,2.766417089,3.116152632,2.929702769,3.041468375,3.241207051,3.106822921,2.913475903,3.105763324,2.839271259,3.099700054,3.397020982,3.03032562,3.181918631,3.099704543,3.455804887,2.771629639,3.071786219,2.97518385,2.982101719,3.215278426,3.166630149,2.93607394,3.04404866,2.964513385,2.89388995,3.490517859,3.000561028,3.380076179,3.42556755,2.838992666,3.180728192,2.910766816,2.904014742,3.153411901,3.006956768,2.800245122,3.228086445,2.838709192,3.278250282,3.468354859,3.070402252,3.113044142,3.196396402,3.552983927,2.909619438,3.076516208,3.049963144,2.812633251,3.134276137,3.085846587,2.768781476,3.176014219,2.936362237
1,1.328350859,1.21710099,1.225773526,1.276777386,1.246619551,1.225447842,1.19124293,1.195388322,1.238346695,1.297969608,1.349198833,1.315175632,1.174245535,1.22126484,1.285249443,1.080362882,0.999283966,1.024932823,1.020683339,1.238490803,1.327831344,1.216969271,1.302262909,1.421772222,1.251198324,1.336355581,1.246819951,1.114618056,1.242803868,1.255634849,1.263992756,1.255593071,1.289833813,1.328168437,1.345226201,1.080456083,1.272244126,1.2255663,1.255327194,1.233822546,1.161556696,1.169962497,1.089038223,1.140444052,1.131698814,1.063396211,1.093280044,1.191557879,1.191550958,1.212679846,1.217191038,1.217657799,1.217321745,1.217318412,1.217195443,1.217195443
1,1.783593218,1.658814124,1.833156379,1.898084858,1.810272293,1.729504096,1.370281804,1.606819535,1.731218387,1.81252286,1.864047673,1.674791278,1.740758446,1.767539282,1.768775611,1.848333565,1.73134404,1.786331511,1.681456955,1.751263014,1.898764757,1.722650124,1.739485601,1.411719271,1.533988376,1.808867499,1.837874239,1.912379891,1.711677286,1.714925102,1.780762565,1.84273445,1.804752808,1.681737742,1.791457071,1.656844583,1.59709149,1.567701075,1.559733935,1.709492802,1.713192148,1.725698968,1.718728795,1.722686316,1.720163034,1.71844761,1.644301786,1.533407375,1.596566462,1.607662499,1.73525124,1.762652837,1.685352847,1.888929722,1.775141596,1.783789671
1,2.418365406,2.631038883,2.481992079,2.091444271,2.566667862,2.492239289,2.453779134,2.554692615,2.489400216,2.44033276,2.618961032,2.173927301,2.322390284,2.680712317,2.441872886,2.474528635,2.529219504,2.628419824,2.081630496,2.461101986,2.554536665,2.426454724,2.543875567,2.521538167,2.418920773,2.606955579,2.314773877,2.16724825,2.699604384,2.45033393,2.531501004,2.527664152,2.442291476,2.264357656,2.246919476,2.448118354,2.420182184,2.452650832,2.310196405,2.212048948,2.421780718,2.495914837,2.558348157,2.450777588,2.535911538,2.45646435,2.579068951,2.441885746,2.334361923,2.198150867,2.423551938,2.429465355,2.442881791,2.37510902,2.185755592,2.389493259
1,1.645070201,1.442068463,1.530618536,1.399076652,1.683856244,1.683365813,1.568670241,1.590694972,1.502472788,1.475026889,1.540804647,1.431408551,1.524792444,1.623179219,1.56855548,1.519055061,1.475129253,1.68355196,0.999005102,1.229052527,1.245168768,1.475143986,1.398649419,1.311279734,1.590534604,1.645360977,1.546734037,1.448192459,1.508203594,1.513558759,1.492051023,1.464592189,1.470070519,1.491694186,1.410564426,1.49767324,1.437192723,1.393116886,1.442737381,1.262150174,1.376596564,1.338170317,1.305493366,1.409905998,1.437185702,1.409806086,1.234536218,1.371681133,1.322147184,1.36037722,1.333159775,1.508466806,1.502963164,1.524919578,1.399049589,1.399049589
1,2.14886943,2.071889159,2.320381136,1.95308092,2.028273535,1.589355322,2.061695602,2.18239645,2.245143051,2.084664113,2.137104802,2.176999025,2.374951331,2.115156927,2.134242216,2.294200056,2.025661399,2.303015376,2.283618941,2.153379759,2.077946105,2.193138196,2.187549331,2.227423318,1.709219495,1.829150674,1.970146749,2.16311843,2.219785871,2.083910867,2.127566934,2.070228761,2.063544026,2.052560139,1.940795022,1.885856944,1.895411138,2.026200603,1.848231361,1.901113688,1.935227617,2.178650881,1.991254837,2.120819122,2.069736153,1.900669536,1.856893334,1.943079135,1.98595819,1.867607571,1.903069279,2.009345321,2.055953013,2.078307378,2.074976472,2.149259641
1,3.003338596,3.079117478,2.50069141,2.978121015,3.066187151,3.063202458,3.182010236,3.030548014,3.131305012,3.147034719,2.985562439,3.125806719,2.493802026,2.951984455,3.072362447,2.974623981,3.126748571,2.615008671,2.778170273,3.151719141,2.98639938,3.212149412,3.047898855,3.083341543,3.202778513,2.954040845,3.184641115,2.594374608,2.785107819,3.117227317,2.935409032,2.957139491,2.729756499,2.739463627,2.685037645,2.792403025,2.977668172,2.864639049,2.663288328,2.759800339,2.688569598,2.926724752,2.932418384,3.073618908,3.212687733,2.946538878,2.967488162,2.793453666,2.707608427,2.722543697,2.72282065,2.961019039,2.924038631,2.67459264,2.754745967,2.682316625
1,10.43484394,10.13596732,9.58285899,8.963596918,9.775314958,9.616720487,10.23338018,9.346464931,10.54316371,9.579628536,10.50133169,9.034205886,9.572888936,10.07432899,9.419578838,12.34981128,0.976653274,21.56334106,4.448353404,7.607289064,5.488650241,7.032615258,8.225006158,7.919679464,8.300987483,7.455903729,10.46209184,12.15695473,13.5871511,12.5425471,11.81247259,11.07724143,12.01539842,11.06633636,11.35480391,13.08923161,11.35347537,9.580386552,11.27414428,9.807914637,11.77459409,10.50512482,9.575078486,12.57911933,9.188081291,10.53536466,9.574990141,9.691182524,10.96130304,7.995481901,10.02981488,10.0314388,10.03252478,10.03387692,10.03348222,10.03348222
